SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Cuba,,,
Eleutherodactylus riparius,Eleutherodactylus,riparius,,,Cuba,,,
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,,,San Salvador,,,
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,,,Long Island,,,
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,,,Andros Island,,,
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,,,South Bimini,,,
Eleutherodactylus ronaldi,Eleutherodactylus,ronaldi,,,Cuba,,,
Eleutherodactylus rucillensis,Eleutherodactylus,rucillensis,,,Hispaniola,,,
Eleutherodactylus rufifemoralis,Eleutherodactylus,rufifemoralis,,,Hispaniola,,,
Eleutherodactylus ruthae,Eleutherodactylus,ruthae,,,Hispaniola,,,
Eleutherodactylus schmidti,Eleutherodactylus,schmidti,,,Hispaniola,,,
Eleutherodactylus schwartzi,Eleutherodactylus,schwartzi,,,Tortola,,,
Eleutherodactylus schwartzi,Eleutherodactylus,schwartzi,,,Beef island,,,
Eleutherodactylus schwartzi,Eleutherodactylus,schwartzi,,,Little thatch,,,
Eleutherodactylus schwartzi,Eleutherodactylus,schwartzi,,,Saint Thomas,,,
Eleutherodactylus sciagraphus,Eleutherodactylus,sciagraphus,,,Hispaniola,,,
Eleutherodactylus semipalmatus,Eleutherodactylus,semipalmatus,,,Hispaniola,,,
Eleutherodactylus sierramaestrae,Eleutherodactylus,sierramaestrae,,,Cuba,,,
Eleutherodactylus sierramaestrae,Eleutherodactylus,sierramaestrae,,,Isla de la juventud,,,
Eleutherodactylus simulans,Eleutherodactylus,simulans,,,Cuba,,,
Eleutherodactylus sisyphodemus,Eleutherodactylus,sisyphodemus,,,Jamaica,,,
Eleutherodactylus sommeri,Eleutherodactylus,sommeri,,,Hispaniola,,,
Eleutherodactylus tetajulia,Eleutherodactylus,tetajulia,,,Cuba,,,
Eleutherodactylus thomasi,Eleutherodactylus,thomasi,,,Cuba,,,
Eleutherodactylus thorectes,Eleutherodactylus,thorectes,,,Hispaniola,,,
Eleutherodactylus toa,Eleutherodactylus,toa,,,Cuba,,,
Eleutherodactylus tonyi,Eleutherodactylus,tonyi,,,Cuba,,,
Eleutherodactylus turquinensis,Eleutherodactylus,turquinensis,,,Cuba,,,
Eleutherodactylus tychathrous,Eleutherodactylus,tychathrous,,,Hispaniola,,,
Eleutherodactylus unicolor,Eleutherodactylus,unicolor,,,Puerto Rico,,,
Eleutherodactylus varians,Eleutherodactylus,varians,,,Cuba,,,
Eleutherodactylus varleyi,Eleutherodactylus,varleyi,,,Cuba,,,
Eleutherodactylus ventrilineatus,Eleutherodactylus,ventrilineatus,,,Hispaniola,,,
Eleutherodactylus warreni,Eleutherodactylus,warreni,,,Tortuga,,,
Eleutherodactylus weinlandi,Eleutherodactylus,weinlandi,,,Hispaniola,,,
Eleutherodactylus wetmorei,Eleutherodactylus,wetmorei,,,Hispaniola,,,
Eleutherodactylus wightmanae,Eleutherodactylus,wightmanae,,,Puerto Rico,,,
Eleutherodactylus zeus,Eleutherodactylus,zeus,,,Cuba,,,
Eleutherodactylus zugi,Eleutherodactylus,zugi,,,Cuba,,,
