"Name","n_habitat"
"Great Abaco.11","8"
"Great Abaco.12","9"
"Great Abaco.13","6"
"Great Abaco.14","10"
"Great Abaco.15","5"
"Great Abaco.16","9"
"Great Abaco.17","9"
"Great Abaco.18","9"
"Great Abaco.19","8"
"Big Cross Cay","8"
"Michael's Cay","13"
"Big Coppice Mangrove","9"
"Big Joe Downer Cay","8"
"Scotland Cay","8"
"Little Joe Downer Cay","5"
"Grand Bahama","21"
"August Cay","12"
"Man o? War Cay","10"
"Water Cay","13"
"Grand Bahama.1","8"
"Grand Bahama.2","9"
"Grand Bahama.3","9"
"Grand Bahama.4","10"
"Sweetings Cay","13"
"Jackson's Cay","12"
"Grand Bahama.5","7"
"Grand Bahama.6","9"
"The Bahamas","10"
"Guadeloupe","20"
"Marie Galante","14"
"Îlet à Fajou","5"
"Dominica","17"
"Saint Lucia","18"
"Hog Cay.1","5"
"Rum Cay Island","13"
"Crooked","9"
"Acklins.1","9"
"Barbados","17"
"Eleuthera","18"
"Current Island","10"
"Harbour Island","11"
"Russel Island","9"
"Cat","16"
"St Vincent","16"
"Grenada","20"
"Tobago","18"
"Mayaguana","16"
"Grand Turk","9"
"Antigua","24"
"Long Island","5"
"New Providence","15"
"Paradise Island","5"
"St. Croix","15"
"Great Exuma","14"
"Coakley Cay","6"
"Bowe Cay","6"
"Little Exuma","13"
"Jewfish Cay","5"
"Moriah Harbour Cay","9"
"Stocking Island","7"
"Green Turtle Cay.1","9"
"Great Exuma.1","11"
"Great Exuma.2","10"
"Great Exuma.3","6"
"North Caicos","16"
"Middle Caicos","14"
"Parrot Cay","10"
"North Caicos.1","6"
"North Caicos.2","7"
"Grand Cayman","13"
"East Caicos","14"
"East Caicos.1","7"
"Tortue","17"
"Barbuda","13"
"Barbuda.1","6"
"St Kitts","20"
"San Salvador","17"
"Viegues","19"
"Little Inagua","7"
"Montserrat","18"
"Ronde Island","8"
"Petite Martinique","7"
"Carriacou Island","14"
"Terre-de-Bas","9"
"Terre de Bas","4"
"La Désirade","13"
"Nevis","15"
"Sint Eustatius","12"
"Saba Island","10"
"Île Saint-Barthélemy","10"
"Anguilla","10"
"Dog Island","4"
"Scrub Island","6"
"Little Cayman","8"
"Cayman Brac Island","9"
"Samana Cay","4"
"Cayo Blanco","8"
"Cayo Galindo","10"
"Cayo Cruz del Padre","6"
"Hog Cay.2","6"
"Cay Sal","2"
"Allen Cay","7"
"Lee Stocking Island","7"
"Norman?s Pond Cay","6"
"Bock Cay","6"
"Young Island","7"
"Conception Island","8"
"Darby Island","7"
"Rudder Cut Cay","6"
"Cave Cay","7"
"Big Farmer?s Cay","7"
"Green Cay","7"
"Great Guana Cay.1","9"
"Bitter Guana Cay","5"
"Staniel Cay","6"
"Big Major?s Spot","5"
"Spanish Wells","11"
"Sampson Cay","6"
"Pipe Cay","7"
"Compass Cay","8"
"Bell Island","5"
"Halls Pond Cay","7"
"Waderick Wells Cay","4"
"Hawksbill Cay","6"
"Shroud Cay","4"
"Shroud Cay.1","11"
"Little San Salvador","10"
"Norman?s Cay Island","6"
"Gold Cay","6"
"Highbourn Cay","7"
"Ship Channel Cay","6"
"Bird Cay","7"
"Frazer?s Hog Cay","11"
"Whale Cay","9"
"Bonds Cay","8"
"Royal Island","6"
"Little Harbour Cay","6"
"Hoffman Cay","7"
"Ambergris Cay","9"
"South Bimini Cay","12"
"North Bimini","9"
"Bamboo Cay","11"
"Great Stirrup Cay","8"
"Elbow Cay","10"
"Upper Sandy Harbour","9"
"Big Cross Cay.1","7"
"Cross Cays","7"
"Little Cave Cay","11"
"Allan Cay","9"
"Great Sale Cay","10"
"Old Yankee Land","9"
"Grand Cay","9"
"Little Tobago","7"
"Union","10"
"Mayreau","7"
"Canouan","7"
"Mustique","12"
"Baliceaux","5"
"A Quatre","5"
"Bequia","9"
"Terre de Haut","9"
"Caja de Muertos","7"
"Mona","8"
"Saint Martin/Sint Maarten","19"
"Tintamarre","4"
"Cayo Luis Pena","6"
"de Culebra","11"
"Culebrita","5"
"Norman","6"
"Water","7"
"St. Thomas","17"
"Cayo Norte","4"
"Peter","6"
"St. John","14"
"Desecheo","5"
"Cooper","6"
"Great Thatch","5"
"Ginger","5"
"Hans Lollik","4"
"Navassa","5"
"Beef","11"
"Tortola","18"
"Jost Van Dyke","11"
"Guana","8"
"Great Camanoe","13"
"Virgin Gorda","14"
"Anegada","12"
"Little Ambergris Cay","9"
"Big Ambergris Cay","6"
"Salt Cay","5"
"Cotton Cay.1","3"
"Turks and Caicos","6"
"South Caicos","8"
"West Caicos","6"
"Mangrove Cay.1","4"
"Providenciales","15"
"Little Water & Pine Cay","11"
"Dellis Cay","5"
"Plana Cays","4"
"Plana Cays.1","4"
"Andros.33","5"
"Andros.34","5"
"Brigantine Cay","5"
"Andros.35","5"
"Andros.36","11"
"Andros.37","7"
"Andros.38","8"
"Andros.39","8"
"Andros.40","5"
"Andros.41","7"
"Andros.42","5"
"Little Bells Cay","7"
"Rose","7"
"Long Cay.2","8"
"Joulter Cays","8"
"Joulter Cays.1","8"
"Lynyard Cay","6"
"The Bahamas.1","9"
"Big Mangrove Cay","5"
"West End Cay","9"
"Strangers Cay","9"
