SpeciesName,Genus,specificEpithet,Longitude,Latitude,First,Second,Third,datasetKey,areas
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,NA,NA,St. Thomas,NA,NA,NA,80250000
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,NA,NA,Tortola,NA,NA,NA,309375000
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus cooki,Eleutherodactylus,cooki,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus coqui,Eleutherodactylus,coqui,NA,NA,Saint John,NA,NA,NA,5.20E+07
Eleutherodactylus coqui,Eleutherodactylus,coqui,NA,NA,St. Thomas,NA,NA,NA,80250000
Eleutherodactylus coqui,Eleutherodactylus,coqui,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus corona,Eleutherodactylus,corona,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus counouspeus,Eleutherodactylus,counouspeus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus cubanus,Eleutherodactylus,cubanus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus cundalli,Eleutherodactylus,cundalli,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus cuneatus,Eleutherodactylus,cuneatus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus darlingtoni,Eleutherodactylus,darlingtoni,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus dimidiatus,Eleutherodactylus,dimidiatus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus diplasius,Eleutherodactylus,diplasius,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus dolomedes,Eleutherodactylus,dolomedes,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus eileenae,Eleutherodactylus,eileenae,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus emiliae,Eleutherodactylus,emiliae,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus eneidae,Eleutherodactylus,eneidae,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus etheridgei,Eleutherodactylus,etheridgei,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus etheridgei,Eleutherodactylus,etheridgei,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus feichtingeri,Eleutherodactylus,feichtingeri,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus femurlevis,Eleutherodactylus,femurlevis,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus flavescens,Eleutherodactylus,flavescens,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus fowleri,Eleutherodactylus,fowleri,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus furcyensis,Eleutherodactylus,furcyensis,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus fuscus,Eleutherodactylus,fuscus,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus geitonos,Eleutherodactylus,geitonos,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus glamyrus,Eleutherodactylus,glamyrus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus glandulifer,Eleutherodactylus,glandulifer,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus glanduliferoides,Eleutherodactylus,glanduliferoides,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus glaphycompus,Eleutherodactylus,glaphycompus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus goini,Eleutherodactylus,goini,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus gossei,Eleutherodactylus,gossei,NA,NA,Bermuda,NA,NA,NA,5.70E+07
Eleutherodactylus gossei,Eleutherodactylus,gossei,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus grabhami,Eleutherodactylus,grabhami,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus greyi,Eleutherodactylus,greyi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus griphus,Eleutherodactylus,griphus,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus gryllus,Eleutherodactylus,gryllus,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus guanahacabibes,Eleutherodactylus,guanahacabibes,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus guantanamera,Eleutherodactylus,guantanamera,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus gundlachi,Eleutherodactylus,gundlachi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus haitianus,Eleutherodactylus,haitianus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus haitianus,Eleutherodactylus,haitianus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus hedricki,Eleutherodactylus,hedricki,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus heminota,Eleutherodactylus,heminota,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus hypostenor,Eleutherodactylus,hypostenor,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus iberia,Eleutherodactylus,iberia,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus inoptatus,Eleutherodactylus,inoptatus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus intermedius,Eleutherodactylus,intermedius,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus ionthus,Eleutherodactylus,ionthus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus jamaicensis,Eleutherodactylus,jamaicensis,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus jasperi,Eleutherodactylus,jasperi,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus jaumei,Eleutherodactylus,jaumei,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Nevis,NA,NA,NA,103625000
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Montserrat,NA,NA,NA,112375000
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Barbuda,NA,NA,NA,151187500
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Antigua,NA,NA,NA,301187500
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Tobago,NA,NA,NA,314250000
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Grenada,NA,NA,NA,329750000
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Anguilla,NA,NA,NA,2.20E+07
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Barbados,NA,NA,NA,459187500
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Saint Lucia,NA,NA,NA,643812500
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Dominica,NA,NA,NA,812937500
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,NA,Martinique,NA,NA,NA,1.19E+09
Eleutherodactylus juanariveroi,Eleutherodactylus,juanariveroi,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus jugans,Eleutherodactylus,jugans,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus junori,Eleutherodactylus,junori,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus karlschmidti,Eleutherodactylus,karlschmidti,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus klinikowskii,Eleutherodactylus,klinikowskii,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus lamprotes,Eleutherodactylus,lamprotes,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus leberi,Eleutherodactylus,leberi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus lentus,Eleutherodactylus,lentus,NA,NA,Saint Croix,NA,NA,NA,187500
Eleutherodactylus lentus,Eleutherodactylus,lentus,NA,NA,St. Thomas,NA,NA,NA,80250000
Eleutherodactylus lentus,Eleutherodactylus,lentus,NA,NA,Jost Van Dyke,NA,NA,NA,9125000
Eleutherodactylus leoncei,Eleutherodactylus,leoncei,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus ligiae,Eleutherodactylus,ligiae,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus limbatus,Eleutherodactylus,limbatus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus limbensis,Eleutherodactylus,limbensis,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus locustus,Eleutherodactylus,locustus,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus lucioi,Eleutherodactylus,lucioi,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus luteolus,Eleutherodactylus,luteolus,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus maestrensis,Eleutherodactylus,maestrensis,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus mariposa,Eleutherodactylus,mariposa,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Bermuda,NA,NA,NA,5.70E+07
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Montserrat,NA,NA,NA,112375000
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Barbuda,NA,NA,NA,151187500
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Antigua,NA,NA,NA,301187500
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Grenada,NA,NA,NA,329750000
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Barbados,NA,NA,NA,459187500
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Saint Lucia,NA,NA,NA,643812500
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Dominica,NA,NA,NA,812937500
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Martinique,NA,NA,NA,1.19E+09
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,St Kitts,NA,NA,NA,184125000
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Saba Island,NA,NA,NA,14250000
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,NA,NA,Nevis,NA,NA,NA,103625000
Eleutherodactylus melacara,Eleutherodactylus,melacara,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus minutus,Eleutherodactylus,minutus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus monensis,Eleutherodactylus,monensis,NA,NA,Isla de Mona,NA,NA,NA,5.70E+07
Eleutherodactylus montanus,Eleutherodactylus,montanus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus montserratae,Eleutherodactylus,montserratae,NA,NA,Montserrat,NA,NA,NA,112375000
Eleutherodactylus neiba,Eleutherodactylus,neiba,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus nortoni,Eleutherodactylus,nortoni,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus notidodes,Eleutherodactylus,notidodes,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus nubicola,Eleutherodactylus,nubicola,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus olibrus,Eleutherodactylus,olibrus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus orcutti,Eleutherodactylus,orcutti,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus orientalis,Eleutherodactylus,orientalis,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus oxyrhynchus,Eleutherodactylus,oxyrhynchus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus oxyrhyncus,Eleutherodactylus,oxyrhyncus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus pantoni,Eleutherodactylus,pantoni,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus parabates,Eleutherodactylus,parabates,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus paralius,Eleutherodactylus,paralius,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus parapelates,Eleutherodactylus,parapelates,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus patriciae,Eleutherodactylus,patriciae,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus paulsoni,Eleutherodactylus,paulsoni,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus pentasyringos,Eleutherodactylus,pentasyringos,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus phyzelus,Eleutherodactylus,phyzelus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus pictissimus,Eleutherodactylus,pictissimus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus pinarensis,Eleutherodactylus,pinarensis,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus pituinus,Eleutherodactylus,pituinus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,San Salvador,NA,NA,NA,180500000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Grand Cayman,NA,NA,NA,228562500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,North Caicos Island,NA,NA,NA,240937500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,New Providence,NA,NA,NA,263875000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Grenada,NA,NA,NA,329750000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Cat Island,NA,NA,NA,433687500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Eleuthera Island,NA,NA,NA,528125000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Grand Bahama Island,NA,NA,NA,1196500000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Long Island,NA,NA,NA,6117437500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Cayman Brac,NA,NA,NA,44312500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Isla de la juventud,NA,NA,NA,2542812500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Saint Martin,NA,NA,NA,98875000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Hawksbill Cay,NA,NA,NA,3562500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Current Island,NA,NA,NA,3.00E+06
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Royal Island,NA,NA,NA,2500000
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,Great Abaco,NA,NA,NA,1422187500
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,NA,South Bimini,NA,NA,NA,2.80E+07
Eleutherodactylus poolei,Eleutherodactylus,poolei,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus portoricensis,Eleutherodactylus,portoricensis,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus principalis,Eleutherodactylus,principalis,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus probolaeus,Eleutherodactylus,probolaeus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,NA,NA,Jost Van Dyke,NA,NA,NA,9125000
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,NA,NA,Tortola,NA,NA,NA,309375000
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,NA,NA,Saint John,NA,NA,NA,5.20E+07
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,NA,NA,St. Thomas,NA,NA,NA,80250000
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,NA,NA,Vieques,NA,NA,NA,1.35E+08
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus rhodesi,Eleutherodactylus,rhodesi,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus richmondi,Eleutherodactylus,richmondi,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Eleuthera Island,NA,NA,NA,528125000
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Grand Bahama Island,NA,NA,NA,1196500000
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Andros Island,NA,NA,NA,613437500
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Isla de la juventud,NA,NA,NA,2542812500
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus riparius,Eleutherodactylus,riparius,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,NA,NA,San Salvador,NA,NA,NA,180500000
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,NA,NA,Long Island,NA,NA,NA,6117437500
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,NA,NA,Andros Island,NA,NA,NA,613437500
Eleutherodactylus rogersi,Eleutherodactylus,rogersi,NA,NA,South Bimini,NA,NA,NA,2.80E+07
Eleutherodactylus ronaldi,Eleutherodactylus,ronaldi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus rucillensis,Eleutherodactylus,rucillensis,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus rufifemoralis,Eleutherodactylus,rufifemoralis,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus ruthae,Eleutherodactylus,ruthae,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus schmidti,Eleutherodactylus,schmidti,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus schwartzi,Eleutherodactylus,schwartzi,NA,NA,Tortola,NA,NA,NA,309375000
Eleutherodactylus schwartzi,Eleutherodactylus,schwartzi,NA,NA,St. Thomas,NA,NA,NA,80250000
Eleutherodactylus sciagraphus,Eleutherodactylus,sciagraphus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus semipalmatus,Eleutherodactylus,semipalmatus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus sierramaestrae,Eleutherodactylus,sierramaestrae,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus sierramaestrae,Eleutherodactylus,sierramaestrae,NA,NA,Isla de la juventud,NA,NA,NA,2542812500
Eleutherodactylus simulans,Eleutherodactylus,simulans,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus sisyphodemus,Eleutherodactylus,sisyphodemus,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus sommeri,Eleutherodactylus,sommeri,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus tetajulia,Eleutherodactylus,tetajulia,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus thomasi,Eleutherodactylus,thomasi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus thorectes,Eleutherodactylus,thorectes,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus toa,Eleutherodactylus,toa,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus tonyi,Eleutherodactylus,tonyi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus turquinensis,Eleutherodactylus,turquinensis,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus tychathrous,Eleutherodactylus,tychathrous,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus unicolor,Eleutherodactylus,unicolor,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus varians,Eleutherodactylus,varians,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus varleyi,Eleutherodactylus,varleyi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus ventrilineatus,Eleutherodactylus,ventrilineatus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus warreni,Eleutherodactylus,warreni,NA,NA,Tortuga,NA,NA,NA,158187500
Eleutherodactylus weinlandi,Eleutherodactylus,weinlandi,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus wetmorei,Eleutherodactylus,wetmorei,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus wightmanae,Eleutherodactylus,wightmanae,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus zeus,Eleutherodactylus,zeus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus zugi,Eleutherodactylus,zugi,NA,NA,Cuba,NA,NA,NA,1.22E+11
